color,change,low,high,price,karat,currency
False,-0.07,58.17,58.37,58.22,سعر الذهب عيار 24 قيراط,eur
False,-0.06,53.40,53.58, 53.45,سعر الذهب عيار 22 قيراط,eur
False,-0.06,50.90,51.07, 50.95,سعر الذهب عيار 21 قيراط,eur
False,-0.05,43.63,43.77,43.67,سعر الذهب عيار 18 قيراط,eur
False,-0.04,34.03,34.14,34.06,سعر الذهب عيار 14 قيراط,eur
False,-0.03,24.26,24.34,24.28,سعر الذهب عيار 10 قيراط,eur
False,-0.02,14.54,14.59,14.56,سعر الذهب عيار 6 قيراط,eur
False,-0.12,63.46,63.68,63.48,سعر الذهب عيار 24 قيراط,usd
False,-0.11,58.26,58.45, 58.27,سعر الذهب عيار 22 قيراط,usd
False,-0.10,55.53,55.72, 55.54,سعر الذهب عيار 21 قيراط,usd
False,-0.09,47.59,47.76,47.61,سعر الذهب عيار 18 قيراط,usd
False,-0.07,37.12,37.25,37.13,سعر الذهب عيار 14 قيراط,usd
False,-0.05,26.46,26.55,26.47,سعر الذهب عيار 10 قيراط,usd
False,-0.03,15.86,15.92,15.87,سعر الذهب عيار 6 قيراط,usd
