color,change,low,high,ounce,karat,currency
True,9.89,"1,696.62","1,730.48","1,722.18",عيار سعر الذهب عيار 24 قيراط,eur
True,9.08,"1,557.50","1,588.58"," 1,580.96",سعر الذهب عيار 22 قيراط,eur
True,8.65,"1,484.54","1,514.17"," 1,506.91",سعر الذهب عيار 21 قيراط,eur
True,7.42,"1,272.47","1,297.86","1,291.64",سعر الذهب عيار 18 قيراط,eur
True,5.78,992.52,"1,012.33","1,007.48",سعر الذهب عيار 14 قيراط,eur
True,4.12,707.49,721.61,718.15,سعر الذهب عيار 10 قيراط,eur
True,2.47,424.16,432.62,430.55,سعر الذهب عيار 6 قيراط,eur
True,9.57,"1,710.65","1,744.79","1,736.02",عيار سعر الذهب عيار 24 قيراط,usd
True,8.79,"1,570.38","1,601.72"," 1,593.67",سعر الذهب عيار 22 قيراط,usd
True,8.37,"1,496.82","1,526.69"," 1,519.02",سعر الذهب عيار 21 قيراط,usd
True,7.18,"1,282.99","1,308.59","1,302.02",سعر الذهب عيار 18 قيراط,usd
True,5.60,"1,000.73","1,020.70","1,015.57",سعر الذهب عيار 14 قيراط,usd
True,3.99,713.34,727.58,723.92,سعر الذهب عيار 10 قيراط,usd
True,2.39,427.66,436.20,434.01,سعر الذهب عيار 6 قيراط,usd
