color,change,low,high,price,karat,currency
True,0.0005,0.6078,0.6097,0.6089,سعر جرام الفضة عيار 999,eur
True,0.0005,0.5826,0.5844,0.5836,سعر جرام الفضة عيار 958,eur
True,0.0004,0.5622,0.5640,0.5633,سعر جرام الفضة عيار 925,eur
True,0.0004,0.5568,0.5585,0.5578,سعر جرام الفضة عيار 916,eur
True,0.0004,0.5319,0.5335,0.5328,سعر جرام الفضة عيار 875,eur
True,0.0004,0.4863,0.4878,0.4872,سعر جرام الفضة عيار 800,eur
True,0.0003,0.3556,0.3567,0.3562,سعر جرام الفضة عيار 585,eur
True,0.0002,0.6178,0.6198,0.6187,سعر جرام الفضة عيار 999,usd
True,0.0002,0.5921,0.5940,0.5929,سعر جرام الفضة عيار 958,usd
True,0.0002,0.5715,0.5733,0.5723,سعر جرام الفضة عيار 925,usd
True,0.0002,0.5659,0.5677,0.5667,سعر جرام الفضة عيار 916,usd
True,0.0002,0.5406,0.5423,0.5413,سعر جرام الفضة عيار 875,usd
True,0.0002,0.4943,0.4958,0.4949,سعر جرام الفضة عيار 800,usd
True,0.0001,0.3614,0.3626,0.3619,سعر جرام الفضة عيار 585,usd
