color,change,low,high,ounce,karat,currency
True,0.2660,18.7411,19.2330,19.0475,سعر جرام الفضة عيار 999,eur
True,0.2549,17.9614,18.4329,18.2551,سعر جرام الفضة عيار 958,eur
True,0.2461,17.3355,17.7905,17.6190,سعر جرام الفضة عيار 925,eur
True,0.2437,17.1668,17.6174,17.4475,سعر جرام الفضة عيار 916,eur
True,0.2328,16.3984,16.8289,16.6666,سعر جرام الفضة عيار 875,eur
True,0.2128,14.9928,15.3864,15.2380,سعر جرام الفضة عيار 800,eur
True,0.1556,10.9635,11.2513,11.1428,سعر جرام الفضة عيار 585,eur
True,0.2660,18.8960,19.3920,19.2050,سعر جرام الفضة عيار 999,usd
True,0.2549,18.1099,18.5853,18.4061,سعر جرام الفضة عيار 958,usd
True,0.2461,17.4788,17.9376,17.7646,سعر جرام الفضة عيار 925,usd
True,0.2437,17.3087,17.7631,17.5918,سعر جرام الفضة عيار 916,usd
True,0.2328,16.5340,16.9680,16.8044,سعر جرام الفضة عيار 875,usd
True,0.2128,15.1168,15.5136,15.3640,سعر جرام الفضة عيار 800,usd
True,0.1556,11.0542,11.3443,11.2349,سعر جرام الفضة عيار 585,usd
